Date,MinTemp,MaxTemp,Humidity,Rainfall,Sunshine,WindGustSpeed,WindGustDir,Rain,RainTomorrow
5/16/2021,23.5,32.4,81,0,9.1,2,180,berawan,hujan sedang
5/17/2021,23,32.6,84,0,9.3,2,180,berawan,hujan sedang
5/18/2021,23.8,31.3,84,0.1,8.3,2,210,hujan ringan,hujan sedang
5/19/2021,,31,84,,7.6,2,100,berawan,hujan sedang
5/20/2021,22.6,31.6,87,,2.4,5,0,berawan,hujan sedang
5/21/2021,24.4,32.6,84,,4.3,2,180,berawan,hujan sedang
5/22/2021,23.6,32.6,85,0,7.9,2,200,berawan,hujan sedang
5/23/2021,23.8,32.2,82,,8.9,3,210,berawan,hujan sedang
5/24/2021,23.8,32.2,84,0,5.4,2,200,berawan,hujan sedang
5/25/2021,23,31.2,87,0,5,2,180,berawan,hujan sedang
5/26/2021,24,33.3,86,0.2,1.1,3,90,hujan ringan,hujan sedang
5/27/2021,23.8,34.6,80,0,6.1,3,100,berawan,hujan sedang
5/28/2021,23.8,34.6,88,0,8.9,3,200,berawan,hujan sedang
5/29/2021,23.8,34.4,87,2,5.2,3,220,hujan ringan,hujan sedang
5/30/2021,24.4,31.8,85,,4.9,2,200,berawan,hujan sedang
5/31/2021,23.8,31.5,84,,7.7,2,180,berawan,hujan sedang
4/1/2021,24.1,31.7,90,1.1,6.3,3,360,hujan ringan,hujan sedang
4/2/2021,23.6,31.6,86,11,4.8,2,200,hujan ringan,hujan sedang
4/3/2021,22.8,33.6,87,0,4.6,3,270,berawan,hujan sedang
4/4/2021,24.2,33.8,86,34.1,3.9,3,90,hujan sedang,hujan sedang
4/5/2021,22.2,,86,29.5,6.2,2,210,hujan sedang,hujan sedang
4/6/2021,,32.4,87,8.8,2.8,2,180,hujan ringan,hujan sedang
4/7/2021,24,30.6,88,26.7,4.2,3,180,hujan sedang,hujan sedang
4/8/2021,24,32.8,82,,1.1,3,180,berawan,hujan sedang
4/9/2021,23.4,33,84,0,7.6,2,180,berawan,hujan sedang
4/10/2021,23.6,34,84,0.8,8.5,3,350,hujan ringan,hujan sedang
4/11/2021,23,32,84,40.2,5.5,3,200,hujan sedang,hujan sedang
4/12/2021,21.1,32,86,31,5.6,2,260,hujan sedang,hujan sedang
4/13/2021,21.4,31.3,88,48.2,5.7,3,200,hujan sedang,hujan sedang
